user_id,provider_id,avg_rating,total_review_count,tag_1_text,tag_1_count,tag_2_text,tag_2_count,tag_3_text,tag_3_count,tag_4_text,tag_4_count,tag_5_text,tag_5_count
7782884,986467,4.9,149,경험과 노하우가 많아요,3,진행 현황을 수시로 공유해요,13,약속 시간을 잘 지켜요,55,응답이 빨라요,26,가격 대비 만족스러워요,99
8443311,1061661,4.9,93,진행 현황을 수시로 공유해요,18,결과물 완성도가 높아요,57,작업 속도가 빨라요,36,응대가 친절해요,66,약속 시간을 잘 지켜요,29
2534414,387780,5.0,42,가격 대비 만족스러워요,5,요청사항을 정확히 반영해요,1,약속 시간을 잘 지켜요,2,진행 현황을 수시로 공유해요,1,경험과 노하우가 많아요,1
3230076,455308,4.9,38,응대가 친절해요,15,약속 시간을 잘 지켜요,8,가격 대비 만족스러워요,13,응답이 빨라요,5,진행 현황을 수시로 공유해요,4
6826620,859364,4.7,14,약속 시간을 잘 지켜요,5,결과물 완성도가 높아요,5,가격 대비 만족스러워요,7,작업 속도가 빨라요,3,응대가 친절해요,5
10044717,1475716,5.0,13,결과물 완성도가 높아요,11,응대가 친절해요,8,가격 대비 만족스러워요,10,약속 시간을 잘 지켜요,6,응답이 빨라요,1
10154428,1763669,5.0,12,가격 대비 만족스러워요,8,응답이 빨라요,2,결과물 완성도가 높아요,11,약속 시간을 잘 지켜요,3,응대가 친절해요,12
9358953,1171307,4.7,12,약속 시간을 잘 지켜요,9,가격 대비 만족스러워요,11,응답이 빨라요,6,진행 현황을 수시로 공유해요,6,결과물 완성도가 높아요,10
18213145,2443936,5.0,4,요청사항을 정확히 반영해요,3,가격 대비 만족스러워요,1,경험과 노하우가 많아요,2,결과물 완성도가 높아요,4,상담이 자세해요,3
2013529,819993,5.0,2,,,,,,,,,,
16089091,2103548,0.0,0,,,,,,,,,,
14219761,1820035,0.0,0,,,,,,,,,,
8703846,1090175,0.0,0,,,,,,,,,,
7369489,938416,5.0,146,결과물 완성도가 높아요,102,A/S를 잘해줘요,12,응대가 친절해요,115,작업 속도가 빨라요,51,가격 대비 만족스러워요,84
